product_id,product_name,category,price
1128,windbreaker,Outdoor Gear,116.42
1496,Backpack,Accesories,55.66
1678,Running Socks,Footwear,11.38
1174,Compression Shirt,Sports Wear,40.74
1465,Trail Shoes,Footw3ar,136.35
1763,Gym Shorts, SPORTSWEAR ,31.33
1225,Sports Bottle, HYDRATION ,13.28
1026,Gym Shorts,Sports Wear,NaN
1241,sUNGLASSES,Unknown,48.35
1063,Running Shoes,Footw3ar,130.84
1203,bACKPACK,,59.82
1521,CAP,Accesories,21.9
1642,Backpack,Accesories,-55
1108,Sunglasses,accessories,59.06
1100,,Sports Wear,34.36
1065,Compression Shirt, SPORTSWEAR ,35.71
1015,Rain Jacket,Outdoor Gear,89.89
1502, Gym Shorts , SPORTSWEAR ,NaN
1668,Sports Bottle,hydration,$15.00
1098,Gym Shorts,Sports Wear,"30,00"
1118,Sports Bottle,hydration,$15.00
1592,Backpack,Accesories,47.92
1781,Trail Sh0es,Unknown,$140.00
1162,Gym Shorts,sportswear,26.72
1008,Running Socks,Fotwear,11.8
1069,Cap,Access0ries,19.05
1209,Running Shoes,Fotwear,114.41
1792,Cap, ACCESSORIES ,19.89
1629,Running Socks,footwear,11.85
1714,Cap,Accessories,21.15
1165,Trail Shoes,Fotwear,134.2
1106,Sunglasses,Accesories,59.59
1676,Thermal Hoodie,sportswear,72.42
1111,Backpack,accessories,53.92
1085,Windbreaker,outdoor gear,104.09
1220,Thermal Hoodie,,72.47
1125,sUNGLASSES, ACCESSORIES ,62.06
1524,sports bottle,,"15,00"
1543,Backpack,accessories,52.54
1748,Running Socks,footwear,13.15
1110,cAP,accessories,18.94
1242,sports bottle,N/A,$15.00
1712,Thermal Hoodie, SPORTSWEAR ,84.62
1481,Gym Shorts,Sports Wear,32.62
1695,Rain Jacket,OutdoorGear,78.35
1646,Cap,accessories,not_a_number
1135,cAP,accessories,17.3
1225,Sports Bottle, HYDRATION ,13.28
1572,Compression Shirt, SPORTSWEAR ,41.72
1180,tRAIL sHOES,Fotwear,139.02
1077,Running Socks, FOOTWEAR ,11.91
1026,gYM sHORTS,sports wear,NaN
1197,Cap, ACCESSORIES ,20.63
1003,Running Socks,Footwear,$12.00
1755,Compression Shirt, SPORTSWEAR ,39.32
1229,Windbreaker,OutdoorGear,116.12
1651,Backpack,Accessories,51.3
1133,,footwear,12.75
1152,sPORTS bOTTLE,Hydrtion,13.35
1069,Cap,Access0ries,19.05
1062,Gym Shorts,Sportwear,29.35
1241,Sunglasses,Unknown,48.35
1551,Sports Bottle, HYDRATION ,13.28
1155,Rain Jacket,Outdoor Gear,90.95
1190,Sports Bottle,Hydrtion,15.24
1633,backpack,Accessories,49.27
1509,COMPRESSION SHIRT,sportswear,39.56
1188,Thermal Hoodie,Sportwear,69.64
1219,rUNNING sHOES,footwear,132.51
1153,SUNGLASSES,Unknown,66.58
1211,Rain Jacket,outdoor gear,"90,00"
1451,Sports Bottle,hydration,16.55
1045,Compression Shirt,Sportwear,39.03
1142,Windbreaker,,94.11
1067, rUNNING sOCKS ,,11.76
1709,Running Socks,footwear,$12.00
1076,sPORTS bOTTLE,HYDRTION,15.13
1525,Compression Shirt,Sports Wear,37.23
1207,cOMPRESSION sHIRT,sportswear,44.19
1469,Backpack,N/A,58.3
1092,Gym Sh0rts,Sportswear,32.84
1609,Windbreaker,outdoor gear,116.61
1641,, FOOTWEAR ,"140,00"
1189,Sunglasses,N/A,$60.00
1059,Trail Shoes,Fotwear,132.66
1220,tHERMAL hOODIE,,72.47
1015,rAIN jACKET,Outdoor Gear,89.89
1033,Cap,Access0ries,"20,00"
1721,Trail Shoes,Footw3ar,132.86
1050,Compression Shirt, SPORTSWEAR ,38.23
1510,rain jacket,outdoor gear,90.31
1618,Sunglasses,Accesories,58.46
1069,cAP,Access0ries,19.05
1615,Gym Shorts,Sportwear,33.0
1727,Cap,Accessories,$20.00
1223,rUNNING sOCKS,Footwear,11.82
1151,Running Socks,Fotwear,12.54
1686,Compression Shirt,sportswear,40.77
1115,cOMPRESSION sHIRT, SPORTSWEAR ,39.35
1037,Thermal Hoodie,sportswear,77.0
1494,Thermal Hoodie, SPORTSWEAR ,75.16
1790,Gym Shorts,Sportwear,29.48
1064,Compression Shirt,Sports Wear,"40,00"
1070,Cap, ACCESSORIES ,18.55
1087,GYM SHORTS,Sports Wear,30.75
1056,Rain Jacket,Outdor Gear,83.85
1233,Rain Jacket,Outdoor Gear,96.33
1657,Sports Bottle,Misc,not_a_number
1079,Compression Shirt, SPORTSWEAR ,40.65
1655,Running Shoes,footwear,120.86
1683,Windbreaker,Outdoor Gear,106.27
1114,gYM sHORTS,Sports Wear,26.55
1231,Thermal Hoodie,N/A,85.07
1203,Backpack,,59.82
1785,Rain Jacket,outdoor gear,97.39
1499,Thermal Hoodie,,84.7
1556,Rain Jacket, OUTDOOR GEAR ,89.37
1223,Running Socks,Footwear,11.82
1200,Thermal Hoodie, SPORTSWEAR ,80.12
1216,BACKPACK,accessories,57.35
1152,Sports Bottle,Hydrtion,13.35
1154,Windbreaker,Misc,94.05
1669,Compression Shirt, SPORTSWEAR ,40.87
1705,Compression Shirt,Sports Wear,39.43
1209,rUNNING sHOES,Fotwear,114.41
1503,Windbreaker,OutdoorGear,108.65
1769,thermal hoodie,Sportwear,73.94
1620, Backpack ,Accessories,not_a_number
1245,TRAIL SHOES,footwear,121.23
1138, Windbreaker ,Outdoor Gear,105.46
1205,Sports Bottle,hydration,not_a_number
1708,Backpack, ACCESSORIES ,58.23
1066,Windbreaker,outdoor gear,$110.00
1726,Thermal Hoodie, SPORTSWEAR ,69.69
1174,cOMPRESSION sHIRT,Sp0rts Wear,40.74
1142,Windbreaker,,94.11
1167,Cap,accessories,20.52
1519,Windbreaker,outdoor gear,112.09
1591,Trail Shoes, FOOTWEAR ,130.27
1794,Windbreaker,Outdoor Gear,
1210,bACKPACK,Accesories,49.99
1102,gYM sHORTS,sportswear,29.85
1537,Backpack,accessories,60.93
1796,Gym Shorts,Sportwear,NaN
1685,Rain Jacket,OutdoorGear,90.62
1010,tHERMAL hOODIE,Sportswear,59.42
1048,Rain Jacket,Outdoor Gear,88.63
1527,Running Shoes,footwear,114.08
1730,Backpack,Accesories,61.58
1692,Running Socks,Fotwear,13.54
1571, Sunglasses ,Access0ries,58.17
1653,thermal hoodie, SPORTSWEAR ,75.39
1563,RUNNING SOCKS,,11.14
1161,tHERMAL hOODIE,Sportwear,68.63
1095,Windbreaker,Outdor Gear,118.1
1079,cOMPRESSION sHIRT, SPORTSWEAR ,40.65
1113,Compression Shirt,sportswear,38.38
1640,Running Shoes,,105.72
1151,rUNNING sOCKS,Fotwear,12.54
1218,Gym Shorts,sportswear,31.15
1559,COMPRESSION SHIRT, SPORTSWEAR ,36.82
1060,Sports Bottle,Hydration,14.82
1091,Thermal Hoodie, SPORTSWEAR ,
1049,Trail Shoes,Footw3ar,154.32
1159,Trail Shoes,Fotwear,
1005,wINDBREAKER,Misc,"110,00"
1742,Running Shoes,Footwear,114.59
1584,Running Socks,Sportwear,13.8
1681,Compression Shirt,Sportwear,34.46
1208,Backpack,,50.9
1691,Windbreaker,outdoor gear,112.45
1235,Running Sh0es,Fotwear,128.61
1762,Running Shoes,Footw3ar,109.82
1210,Backpack,Accesories,49.99
1244,Cap,Accessories,21.27
