sale_id,customer_id,product_id,sale_date,quantity,discount
1171,716,1351,2025-01-13,one,5
1780,65,1144,2025-01-02,1,0
1610,550,1481,2025-03-16,3,5
1150,695,1185,2025-03-01,3,5
1684,,1310,2025-01-21,3,NaN
1128,563,1351,2025-02-08,4,0
1387,539,1350,2025-01-05,3,0
1369,649,1751,2025-03-19,3,10
1465,652,1518,2025-03-29,1,0
1419,182,1420,2025-01-07,2,5
1486,267,1750,2025-03-15,3,10.0
1185,172,1102,2025-02-15,-5,0
1596,341,1367,2025-02-01,4,0
1640,203,1148,2025-01-06,4,0
1468,206,1609,2025-02-14,2,20
1169,114,1716,2025-01-15,2,0
1838,603,1238,2025-03-19,,NaN
1512,64,1781,2025-02-13,3,0
1182,495,1790,2025-03-12,4,10
1014,29,1760,,2,0
1768,617,1800,2025-01-13,5,5
1026,368,1548,2025-03-10,5,0
1163,675,1334,2025-02-25,4,20
1819,350,1529,2025-02-06,3,0
1778,292,1482,2025-03-21,2,15
1425,605,1448,2025-01-25,-2,0
1339,279,1344,2025-01-01,4,20
1178,,1134,2025-02-11,1,5
1874,514,1102,not_a_date,4,0
1641,409,1039,2025-03-31,2,10
1870,52,1791,2025-01-19,4,0
1413,519,1623,2025-02-19,2,0
1856,56,1086,2025-03-15,1,0
1551,253,1601,2025-03-23,4,0
1273,251,1110,2025-01-24,6,5
1209,709,1549,2025-03-14,3,0
1603,619,1214,2025-01-20,1,5
1808,47,1500,2025-01-22,2,0
1211,31,1685,2025-02-12,3,0
1493,515,1143,2025-01-17,1,5
1498,139,1747,2025-03-08,3,0
1809,387,1491,2025-02-26,2,0
1177,525,1440,2025-03-08,6,15
1814,616,1767,2025-03-17,5,0
1253,271,1538,2025-01-10,3,0
1331,15,1025,2025-03-27,3,15
1541,227,1329,2025-03-01,4,5
1141,571,1583,2025-01-02,2,0
1664,21,1603,2025-02-13,5,5
1762,666,1257,2025-03-09,2,0
1070,53,1407,2025-02-25,5,0
1614,419,1263,2025-03-15,2,20
1813,244,1280,2025/01/16,3,0
1679,639,1303,2025-03-17,2,0
1830,595,1566,2025-01-22,1,NaN
1576,569,1066,2025-02-21,2,5
1374,455,1312,2025-02-14,4,0
1473,142,1543,2025-01-07,2,0
1507,162,1562,2025-01-13,2,5
1132,710,1459,2025-01-14,2,0
1625,19,1036,2025-03-29,3,5
1727,615,1008,2025-03-15,3,0
1148,342,1184,2025-01-14,1,15
1048,505,1520,2025-03-02,4,10
1898,321,1348,2025-02-02,,5
1506,34,1651,2025-01-24,2,10
1707,687,1530,not_a_date,2.0,5
1316,535,1455,2025-01-16,5,10.0
1296,489,1149,2025-03-08,4,200
1360,559,1169,2025-03-09,3,20
1364,329,1014,2025-03-14,6,
1433,640,1283,2025-03-23,3,0
1545,510,1171,2025/01/15,2,5
1004,511,1689,2025-01-29,5,5
1061,127,1304,2025-02-12,1,15
1012,595,1751,2025-01-02,2,5
1797,356,1080,2025-01-01,5,0
1537,347,1619,2025-01-07,-5,5
1760,621,1218,2025-01-19,3,0
1071,100,1549,2025-01-24,3,0
1500,671,1173,2025-02-07,2,5
1405,674,1332,2025-01-25,3,0
1823,13,1288,2025-01-17,2,NaN
1476,132,1605,2025-03-01,2,0
1680,533,1648,2025-02-26,7,0
1019,128,1668,2025/03/11,1,0
1773,697,1137,2025-01-31,,0
1591,243,1199,2025-03-19,4,NaN
1310,282,1623,2025-01-30,6,0
1362,323,1441,2025-01-11,3,0
1388,408,1770,2025-02-13,4,10
1005,346,1098,2025-01-22,3,5
1790,60,1461,2025-03-06,4,10
1313,449,1164,2025-02-04,4,25
1789,,1767,not_a_date,1,0
1497,407,1331,2025-01-19,2,5
1496,461,1479,2025-03-17,one,10
1461,262,1236,2025-01-04,3,5
1719,175,1699,2025-02-19,2,0.0
