date,city,temp_c,precip_mm,precip_hours,weather_code
2025-01-01,Madrid,2.8,0.0,0.0,3
2025-01-02,Madrid,2.9,0.0,0.0,3
2025-01-03,Madrid,3.5,0.0,0.0,3
2025-01-04,Madrid,4.1,0.0,0.0,3
2025-01-05,Madrid,7.3,2.1,7.0,53
2025-01-06,Madrid,8.9,2.3,11.0,53
2025-01-07,Madrid,5.5,0.0,0.0,3
2025-01-08,Madrid,8.7,0.5,3.0,51
2025-01-09,Madrid,10.2,0.0,0.0,3
2025-01-10,Madrid,9.1,0.0,0.0,3
2025-01-11,Madrid,12.1,0.0,0.0,3
2025-01-12,Madrid,8.8,0.0,0.0,3
2025-01-13,Madrid,4.3,0.0,0.0,0
2025-01-14,Madrid,2.7,0.0,0.0,0
2025-01-15,Madrid,1.2,0.0,0.0,2
2025-01-16,Madrid,3.9,0.0,0.0,3
2025-01-17,Madrid,5.1,0.0,0.0,2
2025-01-18,Madrid,3.4,0.0,0.0,0
2025-01-19,Madrid,2.1,0.0,0.0,3
2025-01-20,Madrid,5.0,2.4,9.0,53
2025-01-21,Madrid,8.0,5.6,16.0,53
2025-01-22,Madrid,10.0,12.8,17.0,63
2025-01-23,Madrid,10.7,4.2,10.0,63
2025-01-24,Madrid,10.5,0.2,2.0,51
2025-01-25,Madrid,9.6,1.5,8.0,53
2025-01-26,Madrid,8.3,1.8,7.0,51
2025-01-27,Madrid,12.1,5.9,12.0,61
2025-01-28,Madrid,7.1,0.9,4.0,51
2025-01-29,Madrid,5.9,8.4,8.0,63
2025-01-30,Madrid,6.4,0.0,0.0,3
2025-01-31,Madrid,4.3,0.0,0.0,3
2025-02-01,Madrid,4.8,0.0,0.0,3
2025-02-02,Madrid,4.9,0.3,2.0,51
2025-02-03,Madrid,6.0,0.0,0.0,1
2025-02-04,Madrid,5.6,0.0,0.0,0
2025-02-05,Madrid,5.8,0.0,0.0,2
2025-02-06,Madrid,5.3,0.0,0.0,3
2025-02-07,Madrid,4.3,3.3,4.0,71
2025-02-08,Madrid,6.8,0.0,0.0,3
2025-02-09,Madrid,6.6,0.0,0.0,3
2025-02-10,Madrid,8.7,0.1,1.0,51
2025-02-11,Madrid,9.2,1.5,4.0,55
2025-02-12,Madrid,9.6,2.0,7.0,53
2025-02-13,Madrid,8.2,0.0,0.0,3
2025-02-14,Madrid,9.0,0.0,0.0,3
2025-02-15,Madrid,8.9,0.0,0.0,3
2025-02-16,Madrid,10.1,0.0,0.0,3
2025-02-17,Madrid,9.1,0.0,0.0,3
2025-02-18,Madrid,10.1,0.0,0.0,3
2025-02-19,Madrid,11.3,0.0,0.0,3
2025-02-20,Madrid,10.3,0.0,0.0,3
2025-02-21,Madrid,11.0,0.2,1.0,51
2025-02-22,Madrid,9.6,2.7,5.0,61
2025-02-23,Madrid,8.3,0.0,0.0,3
2025-02-24,Madrid,9.0,0.0,0.0,3
2025-02-25,Madrid,10.2,0.1,1.0,51
2025-02-26,Madrid,7.0,0.0,0.0,3
2025-02-27,Madrid,7.6,3.2,3.0,71
2025-02-28,Madrid,9.4,0.1,1.0,51
2025-03-01,Madrid,7.5,6.2,20.0,53
2025-03-02,Madrid,3.1,18.0,24.0,73
2025-03-03,Madrid,7.0,15.0,19.0,63
2025-03-04,Madrid,9.5,7.8,16.0,63
2025-03-05,Madrid,9.8,3.6,10.0,61
2025-03-06,Madrid,10.2,19.6,23.0,63
2025-03-07,Madrid,9.8,8.2,15.0,61
2025-03-08,Madrid,8.9,20.7,20.0,73
2025-03-09,Madrid,6.0,7.0,18.0,71
2025-03-10,Madrid,7.1,10.9,17.0,63
2025-03-11,Madrid,8.4,8.9,17.0,63
2025-03-12,Madrid,8.5,0.6,3.0,51
2025-03-13,Madrid,7.6,8.3,11.0,63
2025-03-14,Madrid,6.4,1.0,3.0,51
2025-03-15,Madrid,4.9,0.9,4.0,51
2025-03-16,Madrid,5.2,11.8,15.0,73
2025-03-17,Madrid,5.7,7.0,9.0,61
2025-03-18,Madrid,8.4,29.1,23.0,63
2025-03-19,Madrid,11.0,6.5,8.0,61
2025-03-20,Madrid,11.6,9.9,11.0,61
2025-03-21,Madrid,9.6,17.3,21.0,63
2025-03-22,Madrid,7.0,12.3,19.0,63
2025-03-23,Madrid,6.8,4.5,10.0,55
2025-03-24,Madrid,7.5,2.6,8.0,55
2025-03-25,Madrid,9.3,0.2,2.0,51
2025-03-26,Madrid,9.4,0.1,1.0,51
2025-03-27,Madrid,9.0,0.0,0.0,2
2025-03-28,Madrid,10.5,0.0,0.0,3
2025-03-29,Madrid,10.6,0.0,0.0,2
2025-03-30,Madrid,10.0,0.0,0.0,2
2025-03-31,Madrid,13.3,0.0,0.0,0
2025-01-01,Barcelona,8.2,0.0,0.0,3
2025-01-02,Barcelona,7.2,0.0,0.0,3
2025-01-03,Barcelona,8.5,0.0,0.0,3
2025-01-04,Barcelona,9.4,0.0,0.0,3
2025-01-05,Barcelona,9.6,0.0,0.0,3
2025-01-06,Barcelona,12.4,1.2,2.0,53
2025-01-07,Barcelona,10.0,0.4,4.0,51
2025-01-08,Barcelona,12.6,0.0,0.0,3
2025-01-09,Barcelona,14.6,0.0,0.0,3
2025-01-10,Barcelona,12.4,0.1,1.0,51
2025-01-11,Barcelona,14.3,0.0,0.0,3
2025-01-12,Barcelona,9.6,0.0,0.0,0
2025-01-13,Barcelona,5.8,0.0,0.0,0
2025-01-14,Barcelona,4.8,0.0,0.0,2
2025-01-15,Barcelona,4.5,0.0,0.0,3
2025-01-16,Barcelona,6.0,1.5,4.0,53
2025-01-17,Barcelona,9.9,1.1,8.0,51
2025-01-18,Barcelona,7.1,0.0,0.0,3
2025-01-19,Barcelona,8.9,0.0,0.0,3
2025-01-20,Barcelona,8.1,0.0,0.0,3
2025-01-21,Barcelona,8.2,0.2,2.0,51
2025-01-22,Barcelona,11.5,0.0,0.0,3
2025-01-23,Barcelona,12.5,0.0,0.0,3
2025-01-24,Barcelona,12.0,0.0,0.0,3
2025-01-25,Barcelona,11.8,0.2,1.0,51
2025-01-26,Barcelona,12.0,0.0,0.0,3
2025-01-27,Barcelona,16.6,0.8,3.0,53
2025-01-28,Barcelona,13.2,0.1,1.0,51
2025-01-29,Barcelona,11.6,0.0,0.0,3
2025-01-30,Barcelona,10.4,1.3,4.0,53
2025-01-31,Barcelona,9.5,3.2,1.0,63
2025-02-01,Barcelona,8.5,2.3,8.0,53
2025-02-02,Barcelona,9.0,0.0,0.0,3
2025-02-03,Barcelona,9.5,0.0,0.0,3
2025-02-04,Barcelona,8.9,0.0,0.0,0
2025-02-05,Barcelona,9.0,0.0,0.0,3
2025-02-06,Barcelona,8.7,0.0,0.0,3
2025-02-07,Barcelona,9.7,1.4,7.0,53
2025-02-08,Barcelona,9.9,13.0,12.0,63
2025-02-09,Barcelona,7.4,0.0,0.0,3
2025-02-10,Barcelona,9.9,0.0,0.0,3
